instance,votes,candidates,trivial,reductions,hull_val,hull_time,hull++_val,hull++_time,TMC_val,TMC_time,valtr_val,valtr_time,QCP_val,QCP_time,IR_val,IR_time
../PrefLib-Data/datasets/00053 - f1races/00053-00000052.soc,33,19,None,,False,0.00102513656020165,False,0.00100799649953842,False,0.0555661506950855,False,0.101859886199236,None,None,False,0.0877067670226097
../PrefLib-Data/datasets/00053 - f1races/00053-00000053.soc,38,15,None,,False,0.000661080703139305,False,0.000625593587756157,False,0.364503754302859,False,0.050437593832612,None,None,False,7.29379057325423
../PrefLib-Data/datasets/00053 - f1races/00053-00000054.soc,58,16,None,,False,0.000781528651714325,False,0.000772219151258469,False,0.542939968407154,False,0.273734591901302,None,None,False,1.06581850722432
../PrefLib-Data/datasets/00053 - f1races/00053-00000055.soc,34,14,None,,False,0.00108510069549084,False,0.00108959898352623,None,3.8336391299963,False,0.0278819277882576,None,None,False,0.120385374873877
../PrefLib-Data/datasets/00053 - f1races/00053-00000056.soc,42,15,None,,False,0.000624090433120728,False,0.000625383108854294,False,0.115130607038736,False,0.00658400543034077,None,None,False,0.179039906710386
../PrefLib-Data/datasets/00053 - f1races/00053-00000057.soc,42,13,None,,False,0.000540152192115784,False,0.0005465317517519,False,0.00279206596314907,False,0.00445013865828514,None,None,False,0.0895703230053186
../PrefLib-Data/datasets/00053 - f1races/00053-00000058.soc,40,11,None,,False,0.0150770638138056,False,0.0158565472811461,False,0.0714353825896978,False,0.00729238241910934,None,None,False,0.901101838797331
../PrefLib-Data/datasets/00053 - f1races/00053-00000059.soc,52,19,None,,False,0.00100552104413509,False,0.00100918672978878,False,0.631180388852954,False,0.557122619822621,None,None,False,1.02811514772475
../PrefLib-Data/datasets/00053 - f1races/00053-00000060.soc,35,14,None,,False,0.00113455578684807,False,0.00108948908746243,False,0.0321194995194674,False,0.0048433318734169,None,None,False,3.19793856889009
../PrefLib-Data/datasets/00053 - f1races/00053-00000061.soc,43,16,None,,False,0.000768370926380158,False,0.000725870952010155,False,0.108053622767329,False,0.00714194588363171,None,None,False,18.5091419182718
../PrefLib-Data/datasets/00053 - f1races/00053-00000062.soc,48,12,None,,False,0.000506706535816193,False,0.000482851639389992,False,0.158683218061924,False,0.0462328512221575,None,None,False,0.148198612034321
../PrefLib-Data/datasets/00053 - f1races/00053-00000063.soc,36,16,None,,False,0.000853091478347778,False,0.000786576420068741,False,0.169596444815397,False,0.0134235601872206,None,None,False,0.719218421727419
../PrefLib-Data/datasets/00053 - f1races/00053-00000064.soc,48,13,None,,False,0.023411113768816,False,0.0240715928375721,False,0.368170266970992,False,0.0681430213153362,None,None,False,0.914831338450313
../PrefLib-Data/datasets/00053 - f1races/00053-00000065.soc,40,17,None,,False,0.00244089402258396,False,0.00255831331014633,False,0.441217640414834,False,0.0723889749497175,None,None,False,12.6782668828964
../PrefLib-Data/datasets/00053 - f1races/00053-00000066.soc,41,12,None,,False,0.347071051597595,False,0.313966184854507,False,0.0362757705152035,False,0.00570614635944366,None,None,False,0.189295517280698
../PrefLib-Data/datasets/00053 - f1races/00053-00000067.soc,41,16,None,,False,0.000835519284009934,False,0.000793870538473129,False,0.00130108743906021,False,0.0135312303900719,None,None,False,5.23555159009993
